"accept","dobj","clt",-1.81
"adapt","prep_from","clt",-1.81
"add","dobj","clt",0.24
"add","dobj_MD","clt",-3.13
"add","prep_to","clt",2.35
"affect","nsubjpass","clt",1.11
"allow","nsubj","clt",1.57
"appear","prep_as_MD","clt",-1.81
"argument","prep_as","clt",-1.81
"associate","prep_with","clt",1.92
"attribute","prep_of","clt",2.07
"available","prep_on","clt",-1.81
"be","prep_in","clt",2.82
"be","prep_of_TO","clt",1.11
"be","prep_of_TO_TO","clt",1.11
"beginning","prep_of","clt",-1.81
"belong","nsubj","clt",-1.81
"body","prep_of","clt",1.11
"call","dobj","clt",-1.27
"call","dobj_MD","clt",1.75
"call","nsubjpass_MD","clt",1.11
"cast","prep_to","clt",-1.81
"catch","dobj_MD","clt",-1.81
"cause","nsubj","clt",1.11
"change","dobj","clt",1.11
"change","prep_to","clt",1.11
"check","dobj_TO","clt",-1.81
"child","nsubj","clt",-1.81
"child","prep_of","clt",-1.81
"class","prep_in","clt",2.22
"clt","amod","use",1.36
"clt","infmod","copy",1.11
"clt","infmod","delete",1.11
"clt","infmod","move",1.11
"clt","infmod_TO","check",1.11
"clt","infmod_TO","find",1.11
"clt","infmod_TO","ignore",1.11
"clt","nsubj","document",1.11
"clt","nsubj","element",1.11
"clt","nsubj","example",-1.81
"clt","nsubj","operation",1.36
"clt","nsubj","set",-0.35
"clt","nsubj","value",-2.21
"clt","prep_because","clt",-1.81
"clt","prep_for","example",-2.21
"clt","rcmod","add",1.11
"clt","rcmod","be",1.36
"clt","rcmod","contain",1.36
"clt","rcmod","create",1.36
"clt","rcmod","implement",1.11
"clt","rcmod","operate",1.11
"clt","rcmod","use",1.57
"clt","rcmod_MD","use",1.11
"clt-Naminglistenerinterfaces","prep_such_as","clt",-1.81
"code","prep_for","clt",1.36
"compile","nsubjpass","clt",1.57
"configure","dobj","clt",1.11
"consider","dobj","clt",0.17
"consist","prep_of","clt",-2.55
"construct","dobj_TO","clt",-0.35
"constructor","prep_in","clt",1.11
"contain","dobj","clt",-5.71
"contain","dobj_MD","clt",-2.55
"contain","nsubj","clt",3.03
"contain","nsubj_MD","clt",-1.81
"contain","prep_in","clt",-1.81
"content","prep_of","clt",1.36
"contents","prep_of","clt",2.35
"convert","prep_to","clt",-1.81
"convert","prep_to_MD","clt",-1.81
"convert","prep_to_TO","clt",-1.81
"create","agent","clt",1.36
"create","dobj","clt",3.25
"create","dobj_MD","clt",1.11
"create","dobj_TO","clt",-1.82
"create","nsubj","clt",1.08
"create","nsubj_MD","clt",1.11
"create","nsubjpass","clt",0.83
"declaration","prep_of","clt",1.75
"define","agent","clt",-2.21
"define","dobj","clt",-4.42
"define","nsubj","clt",-1.77
"define","nsubjpass","clt",0.76
"define","prep_as_TO","clt",-1.81
"define","prep_by","clt",1.11
"define","prep_in","clt",-4.04
"define","prep_through","clt",-1.81
"depend","nsubj","clt",1.11
"determine","agent","clt",-1.81
"do","nsubj","clt",1.11
"element","prep_such_as","clt",-2.21
"enable","nsubj","clt",1.11
"encapsulate","nsubj","clt",1.11
"ensure","nsubj","clt",1.11
"extend","dobj","clt",-3.61
"extend","nsubj","clt",1.57
"find","dobj_TO","clt",-1.81
"find","prep_in","clt",-4.78
"follow","dobj","clt",-1.81
"form","prep_of","clt",-0.49
"generate","agent","clt",-1.81
"generate","dobj","clt",-2.21
"generate","nsubj","clt",1.57
"generate","prep_for","clt",1.11
"get","dobj","clt",1.29
"get","dobj_MD","clt",-1.81
"get","dobj_TO","clt",-0.35
"get","nsubj","clt",-0.35
"give","dobj","clt",-2.55
"give","nsubj","clt",1.11
"go","prep_to_TO","clt",-2.21
"have","dobj","clt",-2.08
"have","dobj_MD","clt",-2.55
"have","dobj_VBZ_neg","clt",-2.21
"have","nsubj","clt",2.07
"have","nsubj_MD","clt",1.11
"implement","dobj","clt",-4.42
"implement","dobj_MD","clt",-1.81
"implement","nsubj","clt",1.36
"implementation","prep_of","clt",-2.85
"indicate","nsubj","clt",2.71
"information","prep_on","clt",-1.81
"inherit","prep_from","clt",-1.81
"initialvalue","prep_for","clt",1.11
"insert","dobj_MD","clt",-1.81
"insert","prep_into_MD","clt",1.11
"instance","prep_of","clt",3.13
"instantiate","dobj","clt",1.11
"instantiate","nsubj","clt",1.11
"invocation","prep_of","clt",1.11
"invoke","dobj","clt",1.83
"invoke","dobj_MD","clt",1.36
"invoke","nsubj","clt",1.57
"invoke","nsubjpass","clt",1.75
"invoke","prep_with","clt",-2.21
"list","nsubj","clt",1.36
"list","prep_of","clt",2.25
"look","dobj","clt",-1.52
"look","prep_like","clt",-1.81
"map","nsubj","clt",2.82
"mark","nsubj","clt",-1.81
"match","nsubj","clt",-1.02
"method","prep_for","clt",-1.81
"method","prep_in","clt",1.11
"method","prep_of","clt",1.75
"navigate","prep_to","clt",1.11
"note","dobj","clt",1.11
"note","dobj_TO","clt",1.11
"object","nsubj","clt",-2.21
"occurrence","prep_of","clt",1.57
"overloading","prep_of","clt",-1.81
"parent","prep_of","clt",1.11
"part","nsubj","clt",0.83
"part","prep_of","clt",-2.55
"pass","dobj_TO","clt",-1.81
"pass","nsubj","clt",1.11
"pass","prep_to","clt",2.48
"perform","nsubj","clt",1.36
"precede","dobj","clt",-1.81
"precede","nsubj","clt",-1.81
"print","nsubj_MD","clt",1.75
"process","dobj","clt",1.36
"provide","agent","clt",-1.81
"provide","dobj","clt",1.36
"provide","nsubj","clt",2.22
"publicinterface","nsubj","clt",1.11
"refer","nsubj","clt",-2.55
"refer","prep_to","clt",-0.35
"refer","prep_to_TO","clt",1.11
"reference","agent_MD","clt",1.11
"reference","dobj","clt",-0.35
"register","dobj","clt",0.17
"register","prep_with","clt",-2.21
"register","prep_with_MD","clt",-1.81
"relative","prep_to","clt",-1.81
"remove","dobj","clt",-1.81
"remove","prep_from","clt",-1.81
"replace","dobj","clt",-1.93
"replace","prep_with","clt",1.36
"represent","agent","clt",1.36
"represent","nsubj","clt",1.75
"request","prep_for","clt",1.11
"require","dobj","clt",-2.85
"require","nsubj","clt",1.75
"restrictive","nsubj","clt",1.11
"return","agent","clt",-2.85
"return","dobj","clt",-3.38
"return","dobj_MD","clt",-1.81
"return","nsubj","clt",3.03
"return","nsubjpass","clt",1.36
"return","prep_to","clt",1.11
"reuse","dobj","clt",1.11
"run","dobj","clt",1.49
"run","dobj_TO","clt",1.36
"run","prep_on","clt",-3.61
"select","dobj","clt",-3.83
"select","nsubj","clt",2.71
"set","dobj","clt",1.17
"set","dobj_TO","clt",-0.35
"set","nsubj","clt",1.36
"set","prep_to","clt",-1.01
"share","agent","clt",-2.21
"similar","prep_to","clt",-2.21
"specify","agent","clt",-1.93
"specify","dobj","clt",0.03
"specify","dobj_MD","clt",0.83
"specify","nsubj","clt",2.6
"specify","nsubjpass","clt",-1.81
"start","prep_with","clt",-2.21
"staticfield","prep_such_as","clt",-1.81
"subclass","prep_of","clt",-3.38
"subtype","nsubj","clt",2.07
"subtype","prep_of","clt",-4.42
"subtype","prep_such_as","clt",-2.21
"supertype","prep_of","clt",1.11
"supertype","prep_such_as","clt",-2.21
"supply","dobj","clt",1.11
"tag","prep_such_as","clt",-3.61
"tag","prep_to","clt",-1.81
"take","dobj","clt",-2.55
"take","nsubj","clt",2.22
"tell","dobj","clt",1.11
"tell","nsubj","clt",1.75
"text","prep_of","clt",1.11
"throw","dobj_MD","clt",1.57
"throw","nsubjpass","clt",-2.55
"throw","nsubjpass_MD","clt",-2.85
"type","prep_of","clt",1.11
"use","agent","clt",1.36
"use","dobj","clt",1.42
"use","dobj_MD","clt",2.68
"use","dobj_MD_neg","clt",-2.85
"use","dobj_TO","clt",2.9
"use","nsubj","clt",2.12
"use","nsubj_VBZ","clt",1.11
"use","nsubjpass","clt",2.71
"use","nsubjpass_MD","clt",1.75
"use","prep_as","clt",-1.81
"use","prep_of","clt",1.29
"value","prep_of","clt",2.71
"want","dobj","clt",1.36
"work","dobj","clt",-2.21
"write","prep_to","clt",-1.81
